epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6981,1.97207,3.64211,1.98554,0.50179,0.21842,0.14451,0.05343,2.29629,4.36991,2.34039,0.000331224,0.000331224,0.000331224
2,54.4139,1.84679,3.03158,1.89678,0.13135,0.29907,0.1522,0.05592,2.16694,4.45007,2.34404,0.000642627,0.000642627,0.000642627
3,79.7356,1.87653,2.87422,1.90471,0.34874,0.18744,0.13927,0.04614,2.29697,3.78991,2.46846,0.00093203,0.00093203,0.00093203
4,104.008,1.80679,2.67494,1.86151,0.49865,0.37596,0.26585,0.09983,1.99409,3.03934,2.14259,0.000901,0.000901,0.000901
5,128.277,1.74606,2.55616,1.82658,0.23382,0.39942,0.27821,0.11881,1.95908,2.8154,2.10109,0.000868,0.000868,0.000868
6,152.631,1.7798,2.46598,1.82417,0.40477,0.47812,0.37807,0.15948,1.81513,2.71626,1.91378,0.000835,0.000835,0.000835
7,176.808,1.74712,2.33735,1.79343,0.4702,0.48329,0.37703,0.16395,1.83562,2.60012,1.92493,0.000802,0.000802,0.000802
8,200.709,1.73318,2.35828,1.77874,0.43134,0.42442,0.35546,0.16999,1.78484,2.41226,1.89306,0.000769,0.000769,0.000769
9,224.717,1.68467,2.28663,1.75076,0.47079,0.36921,0.36498,0.16004,1.9316,2.40527,2.03153,0.000736,0.000736,0.000736
10,248.891,1.69546,2.23226,1.7437,0.50457,0.39129,0.4295,0.18623,1.8114,2.32811,1.90569,0.000703,0.000703,0.000703
11,273.292,1.65524,2.16306,1.73302,0.28922,0.47345,0.41834,0.19325,1.75658,2.2879,1.8468,0.00067,0.00067,0.00067
12,297.657,1.6682,2.15387,1.72099,0.63963,0.37695,0.42233,0.1853,1.82593,2.08754,1.87914,0.000637,0.000637,0.000637
13,322.038,1.61769,2.12216,1.71183,0.32718,0.54224,0.45346,0.21511,1.73031,2.10611,1.88051,0.000604,0.000604,0.000604
14,346.533,1.64292,2.06222,1.72393,0.67652,0.37184,0.44653,0.21331,1.7474,2.10212,1.84053,0.000571,0.000571,0.000571
15,371.366,1.59628,2.00917,1.67818,0.4722,0.4892,0.44191,0.20346,1.75171,2.01709,1.81027,0.000538,0.000538,0.000538
16,396.056,1.58681,2.01722,1.66713,0.42559,0.5081,0.45708,0.19935,1.80311,2.00523,1.82715,0.000505,0.000505,0.000505
17,420.294,1.6123,1.97259,1.69066,0.32615,0.55172,0.46071,0.21552,1.74857,2.05388,1.83087,0.000472,0.000472,0.000472
18,444.687,1.57809,1.98094,1.68547,0.38492,0.57339,0.48364,0.23836,1.66659,1.87331,1.75585,0.000439,0.000439,0.000439
19,486.695,1.56653,1.97899,1.66163,0.4484,0.55827,0.50147,0.251,1.6737,1.81827,1.77933,0.000406,0.000406,0.000406
20,517.017,1.54778,1.9559,1.67473,0.4189,0.5482,0.51681,0.24654,1.68864,1.88313,1.79469,0.000373,0.000373,0.000373
21,539.044,1.62031,1.96914,1.7565,0.34439,0.6105,0.53151,0.24756,1.67399,1.81682,1.76191,0.00034,0.00034,0.00034
22,560.8,1.57699,1.87254,1.73425,0.46179,0.5617,0.53808,0.2618,1.64091,1.80847,1.74946,0.000307,0.000307,0.000307
23,582.308,1.54513,1.80923,1.71175,0.42819,0.56559,0.52549,0.26168,1.62605,1.76632,1.75408,0.000274,0.000274,0.000274
24,603.633,1.52746,1.78087,1.6795,0.4175,0.61223,0.53178,0.25606,1.68944,1.76528,1.77264,0.000241,0.000241,0.000241
25,625.217,1.52447,1.78554,1.69394,0.42253,0.60318,0.54415,0.27505,1.65025,1.72287,1.7505,0.000208,0.000208,0.000208
26,646.91,1.49992,1.7526,1.68389,0.4885,0.59993,0.55747,0.28151,1.5894,1.6882,1.71444,0.000175,0.000175,0.000175
27,668.307,1.47128,1.72268,1.6438,0.50637,0.58019,0.57334,0.28789,1.59704,1.67742,1.71699,0.000142,0.000142,0.000142
28,689.897,1.44483,1.69971,1.63926,0.48935,0.61248,0.57647,0.29212,1.62021,1.67975,1.7456,0.000109,0.000109,0.000109
29,711.298,1.44065,1.64057,1.64009,0.54235,0.56614,0.58941,0.29476,1.61,1.65099,1.71733,7.6e-05,7.6e-05,7.6e-05
30,733.144,1.44422,1.64016,1.62903,0.51547,0.57367,0.57628,0.29498,1.5905,1.64377,1.70641,4.3e-05,4.3e-05,4.3e-05
