epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7833,2.01553,3.96748,1.99118,0.32132,0.16027,0.15782,0.06297,2.22484,3.62937,2.3622,0.000331224,0.000331224,0.000331224
2,73.4075,1.95986,2.72268,1.9837,0.42207,0.15427,0.09764,0.02932,2.44638,4.12722,2.53075,0.000651399,0.000651399,0.000651399
3,108.852,1.97377,2.69773,2.01263,0.64275,0.19548,0.15496,0.05826,2.27816,3.87793,2.44892,0.000958374,0.000958374,0.000958374
4,144.027,1.92525,2.55644,1.97981,0.23508,0.29981,0.2217,0.08431,2.22778,2.84057,2.28861,0.0009406,0.0009406,0.0009406
5,179.355,1.84585,2.44254,1.92837,0.19568,0.38377,0.24149,0.08783,2.12875,2.7805,2.18272,0.0009208,0.0009208,0.0009208
6,214.652,1.85522,2.44039,1.93219,0.47841,0.2484,0.27782,0.11664,2.00559,2.4446,2.13836,0.000901,0.000901,0.000901
7,250.437,1.82021,2.32948,1.89131,0.44365,0.32287,0.28733,0.11921,2.00361,2.53306,2.07717,0.0008812,0.0008812,0.0008812
8,286.336,1.78737,2.35482,1.86926,0.2334,0.43544,0.29934,0.1303,1.93018,2.52271,2.1069,0.0008614,0.0008614,0.0008614
9,322.58,1.78005,2.35048,1.87743,0.49115,0.32557,0.29623,0.12223,2.0009,2.44908,2.1233,0.0008416,0.0008416,0.0008416
10,358.016,1.7658,2.21791,1.80993,0.60895,0.32467,0.36351,0.14809,1.93061,2.22463,2.03903,0.0008218,0.0008218,0.0008218
11,393.089,1.71815,2.14063,1.78752,0.29256,0.55056,0.37087,0.16908,1.87478,2.40073,1.9914,0.000802,0.000802,0.000802
12,428.188,1.73823,2.11957,1.78682,0.48554,0.38893,0.36155,0.15648,1.86958,2.22633,1.95232,0.0007822,0.0007822,0.0007822
13,463.485,1.6969,2.11264,1.7801,0.34569,0.45349,0.36371,0.15943,1.87005,2.17267,1.96778,0.0007624,0.0007624,0.0007624
14,498.745,1.69995,2.07637,1.77577,0.32295,0.54001,0.41137,0.18191,1.81095,2.10625,1.92208,0.0007426,0.0007426,0.0007426
15,533.976,1.66738,2.03537,1.76157,0.31228,0.43937,0.35155,0.1519,1.91963,2.2491,2.03117,0.0007228,0.0007228,0.0007228
16,569.118,1.67405,2.07039,1.75132,0.33193,0.42358,0.37692,0.16449,1.88257,2.12054,2.01133,0.000703,0.000703,0.000703
17,604.567,1.66157,1.9796,1.73577,0.52397,0.43679,0.43791,0.20331,1.75039,1.9635,1.8773,0.0006832,0.0006832,0.0006832
18,640.166,1.63684,1.9999,1.73174,0.44159,0.46159,0.44436,0.21056,1.76231,1.9336,1.87054,0.0006634,0.0006634,0.0006634
19,675.731,1.63748,2.02556,1.75106,0.3371,0.45215,0.39094,0.17737,1.82471,2.0335,1.95949,0.0006436,0.0006436,0.0006436
20,710.939,1.60837,2.01755,1.73274,0.37795,0.52089,0.45074,0.20316,1.76223,1.95811,1.89169,0.0006238,0.0006238,0.0006238
21,746.057,1.64455,1.99946,1.73666,0.31992,0.5318,0.42402,0.18794,1.7974,2.03961,1.92686,0.000604,0.000604,0.000604
